1 [108, 38, 71]
1 [53, 38, 71]
1 [42, 99, 132]
1 [42, 99, 122]
1 [42, 132, 122]
1 [99, 132, 122]
1 [11, 108, 38]
1 [11, 108, 71]
1 [11, 38, 71]
1 [108, 38, 71]
1 [121, 130, 20]
1 [121, 130, 45]
1 [121, 20, 45]
1 [130, 20, 45]
1 [26, 107, 139]
1 [26, 107, 77]
1 [26, 139, 77]
1 [107, 139, 77]
1 [42, 108, 38]
1 [42, 108, 71]
1 [42, 38, 71]
1 [108, 38, 71]
1 [164, 111, 36]
1 [164, 111, 65]
1 [164, 36, 65]
1 [111, 36, 65]
1 [83, 90, 27]
1 [83, 90, 36]
1 [83, 27, 36]
1 [90, 27, 36]
1 [64, 107, 52]
1 [64, 107, 159]
1 [64, 52, 159]
1 [107, 52, 159]
1 [8, 127, 109]
1 [8, 127, 47]
1 [8, 109, 47]
1 [127, 109, 47]
1 [1, 98, 115]
1 [1, 98, 146]
1 [1, 115, 146]
1 [98, 115, 146]
1 [26, 107, 109]
1 [26, 107, 159]
1 [26, 109, 159]
1 [107, 109, 159]
1 [153, 3, 76]
1 [153, 3, 125]
1 [153, 76, 125]
1 [3, 76, 125]
1 [113, 146, 75]
1 [113, 146, 14]
1 [113, 75, 14]
1 [146, 75, 14]
1 [137, 67, 46]
1 [137, 67, 142]
1 [137, 46, 142]
1 [67, 46, 142]
1 [57, 148, 140]
1 [57, 148, 100]
1 [57, 140, 100]
1 [148, 140, 100]
1 [128, 81, 50]
1 [128, 81, 4]
1 [128, 50, 4]
1 [81, 50, 4]
1 [0, 144, 66]
1 [0, 144, 87]
1 [0, 66, 87]
1 [144, 66, 87]
1 [123, 115, 92]
1 [123, 115, 54]
1 [123, 92, 54]
1 [115, 92, 54]
1 [65, 83, 116]
1 [65, 83, 36]
1 [65, 116, 36]
1 [83, 116, 36]
1 [136, 65, 91]
1 [136, 65, 164]
1 [136, 91, 164]
1 [65, 91, 164]
1 [9, 43, 158]
1 [9, 43, 119]
1 [9, 158, 119]
1 [43, 158, 119]
1 [3, 68, 134]
1 [3, 68, 70]
1 [3, 134, 70]
1 [68, 134, 70]
1 [160, 90, 86]
1 [160, 90, 7]
1 [160, 86, 7]
1 [90, 86, 7]
1 [81, 106, 149]
1 [81, 106, 31]
1 [81, 149, 31]
1 [106, 149, 31]
1 [54, 123, 21]
1 [54, 123, 126]
1 [54, 123, 39]
1 [54, 21, 126]
1 [54, 21, 39]
1 [54, 126, 39]
1 [123, 21, 126]
1 [123, 21, 39]
1 [123, 126, 39]
1 [21, 126, 39]
1 [129, 58, 52]
1 [129, 58, 150]
1 [129, 58, 17]
1 [129, 52, 150]
1 [129, 52, 17]
1 [129, 150, 17]
1 [58, 52, 150]
1 [58, 52, 17]
1 [58, 150, 17]
1 [52, 150, 17]
1 [0, 144, 138]
1 [0, 144, 80]
1 [0, 144, 87]
1 [0, 138, 80]
1 [0, 138, 87]
1 [0, 80, 87]
1 [144, 138, 80]
1 [144, 138, 87]
1 [144, 80, 87]
1 [138, 80, 87]
1 [72, 135, 117]
1 [72, 135, 6]
1 [72, 135, 157]
1 [72, 117, 6]
1 [72, 117, 157]
1 [72, 6, 157]
1 [135, 117, 6]
1 [135, 117, 157]
1 [135, 6, 157]
1 [117, 6, 157]
1 [153, 3, 70]
1 [153, 3, 134]
1 [153, 3, 125]
1 [153, 70, 134]
1 [153, 70, 125]
1 [153, 134, 125]
1 [3, 70, 134]
1 [3, 70, 125]
1 [3, 134, 125]
1 [70, 134, 125]
1 [136, 65, 91]
1 [136, 65, 164]
1 [136, 65, 25]
1 [136, 91, 164]
1 [136, 91, 25]
1 [136, 164, 25]
1 [65, 91, 164]
1 [65, 91, 25]
1 [65, 164, 25]
1 [91, 164, 25]
1 [153, 130, 76]
1 [153, 130, 45]
1 [153, 130, 70]
1 [153, 76, 45]
1 [153, 76, 70]
1 [153, 45, 70]
1 [130, 76, 45]
1 [130, 76, 70]
1 [130, 45, 70]
1 [76, 45, 70]
1 [144, 80, 138]
1 [144, 80, 0]
1 [144, 80, 49]
1 [144, 138, 0]
1 [144, 138, 49]
1 [144, 0, 49]
1 [80, 138, 0]
1 [80, 138, 49]
1 [80, 0, 49]
1 [138, 0, 49]
1 [40, 112, 82]
1 [40, 112, 69]
1 [40, 112, 8]
1 [40, 82, 69]
